iter	RMSE
459	15394.83412
460	15376.75771
461	15368.09928
462	15360.86436
463	15354.17387
464	15337.94922
465	15330.87351
466	15321.80316
467	15315.72812
468	15305.39781
469	15300.16218
470	15288.63773
471	15275.37702
472	15261.92758
473	15256.88693
474	15240.25231
475	15228.42472
476	15218.95376
477	15210.85064
478	15204.61847
479	15190.56389
480	15175.61088
481	15159.88124
482	15149.45335
483	15141.63425
484	15128.7151
485	15125.28218
486	15109.77555
487	15097.07392
488	15083.8536
489	15063.16741
490	15055.68955
491	15046.07988
492	15039.53116
493	15034.42209
494	15030.22809
495	15021.33329
496	15014.44116
497	15007.09334
498	14992.3059
499	14980.08144
500	14970.05103
501	14964.15769
502	14953.65265
503	14943.92223
504	14940.25504
505	14933.53242
506	14925.22478
507	14915.74329
508	14902.54278
509	14899.06865
510	14892.29825
511	14885.67633
512	14875.53537
513	14859.75872
514	14847.20215
515	14839.90027
516	14832.14659
517	14823.91175
518	14817.81865
519	14809.1749
520	14799.72721
521	14794.13638
522	14789.27655
523	14778.35899
524	14773.67984
525	14765.15439
526	14757.46145
527	14745.89858
528	14734.99139
529	14727.24677
530	14716.32668
531	14708.81883
532	14702.19936
533	14694.41155
534	14688.99715
535	14680.78507
536	14671.68204
537	14665.51411
538	14659.50077
539	14652.50158
540	14646.52044
541	14639.42063
542	14625.86228
543	14616.22249
544	14608.67227
545	14597.15638
546	14586.59623
547	14579.96588
548	14568.74794
549	14564.57062
550	14555.15939
551	14541.36397
552	14536.07557
553	14525.45531
554	14521.20824
555	14514.29416
556	14506.84055
557	14498.94831
558	14491.60483
559	14475.10183
560	14464.14958
561	14458.26884
562	14450.66533
563	14447.11172
564	14438.3816
565	14430.35308
566	14424.14458
567	14415.57771
568	14406.88025
569	14391.78824
570	14384.79707
571	14377.06199
572	14370.44454
573	14365.25147
574	14361.89915
575	14356.36968
576	14348.73694
577	14344.30536
578	14337.66945
579	14334.49186
580	14330.10636
581	14322.55287
582	14308.98591
583	14299.75995
584	14295.32795
585	14285.67644
586	14277.38455
587	14272.68203
588	14269.04596
589	14262.76592
590	14253.35237
591	14248.33995
592	14243.39462
593	14238.27317
594	14231.60502
595	14225.21212
596	14221.00712
597	14211.4281
598	14203.98777
599	14198.65486
600	14193.65843
601	14186.06961
602	14181.5466
603	14178.9708
604	14172.77445
605	14168.03358
606	14159.59915
607	14150.1899
608	14145.84624
609	14141.69428
610	14138.86885
611	14134.98367
612	14126.85846
613	14125.36555
614	14117.21498
615	14112.58588
616	14102.8576
617	14093.50307
618	14087.79878
619	14075.89733
620	14068.31501
621	14063.73296
622	14055.25965
623	14050.98053
624	14044.43369
625	14037.52257
626	14027.99366
627	14022.94027
628	14013.98223
629	14010.66419
630	14004.74153
631	14001.82301
632	13994.81856
633	13990.43406
634	13984.85036
635	13979.51336
636	13975.09943
637	13965.71795
638	13962.93601
639	13955.82937
640	13953.28452
641	13947.49207
642	13944.43202
643	13939.6381
644	13935.13781
645	13930.20166
646	13923.34378
647	13913.73386
648	13911.28125
649	13904.26633
650	13900.44796
651	13889.51451
652	13883.49615
653	13877.81756
654	13873.84366
655	13870.05884
656	13863.08929
657	13857.21591
658	13855.50682
659	13846.65354
660	13841.28737
661	13836.30939
662	13833.58322
663	13827.18053
664	13821.20703
665	13813.54359
666	13807.69666
667	13801.57821
668	13795.28831
669	13790.97571
670	13785.68816
671	13772.75499
672	13763.49749
673	13758.9196
674	13755.7275
675	13748.4373
676	13742.37755
677	13738.28918
678	13732.97053
679	13728.19001
680	13722.55527
681	13716.1617
682	13711.91793
683	13708.21868
684	13701.48064
685	13695.28933
686	13693.11629
687	13689.37652
688	13682.76639
689	13678.78187
690	13673.2786
691	13669.96694
692	13661.5733
693	13656.61447
694	13648.77299
695	13643.43863
696	13637.81856
697	13630.69436
698	13623.09854
699	13620.02784
700	13616.46217
701	13612.18315
702	13606.21169
703	13601.65066
704	13596.97486
705	13591.73679
706	13589.75626
707	13585.81879
708	13582.97817
709	13577.66497
710	13569.75722
711	13563.3389
712	13559.41084
713	13551.87471
714	13547.50377
715	13542.95162
716	13532.89301
717	13527.19769
718	13516.56603
719	13510.92621
720	13506.08027
721	13501.06144
722	13498.95726
723	13494.75163
724	13491.0327
725	13486.2068
726	13483.64755
727	13481.53839
728	13475.8333
729	13471.2878
730	13467.6498
731	13461.92734
732	13457.32208
733	13455.45422
734	13451.12224
735	13446.2556
736	13442.47964
737	13437.29668
738	13432.06372
739	13426.98601
740	13423.19936
741	13418.44986
742	13415.45387
743	13410.38726
744	13400.75076
745	13399.05602
746	13391.90856
747	13386.03669
748	13380.73002
749	13376.45577
750	13371.22407
751	13364.99426
752	13361.16623
753	13358.01943
754	13352.53098
755	13348.12058
756	13344.39936
757	13339.96779
758	13336.15109
759	13330.7927
760	13328.71133
761	13322.48509
762	13321.41009
763	13316.05903
764	13312.39919
765	13307.45892
766	13297.69838
767	13288.87792
768	13284.72443
769	13277.82601
770	13272.83595
771	13267.01531
772	13259.02031
773	13254.13386
774	13250.09646
775	13244.18378
776	13241.52633
777	13239.47244
778	13234.71196
779	13233.85192
780	13229.9231
781	13227.93183
782	13217.37015
783	13214.04877
784	13212.50468
785	13208.8451
786	13203.75335
787	13197.94277
788	13192.62179
789	13186.45424
790	13183.02827
791	13179.18177
792	13178.35525
793	13173.68469
794	13172.87113
795	13167.90372
796	13163.4801
797	13157.92931
798	13155.32512
799	13153.75966
800	13150.50353
801	13144.98396
802	13141.25828
803	13133.09309
804	13128.36209
805	13125.44033
806	13121.85781
807	13118.413
808	13115.67431
809	13114.82662
810	13112.17398
811	13110.27175
812	13106.17153
813	13101.52669
814	13097.26045
815	13095.79397
816	13085.64317
817	13083.6625
818	13079.77767
819	13076.03652
820	13069.82946
821	13066.09755
822	13062.22063
823	13056.68642
824	13052.66206
825	13048.0602
826	13045.35817
827	13041.64801
828	13036.63811
829	13034.4348
830	13030.97132
831	13029.84876
832	13026.49875
833	13022.88461
834	13021.29312
835	13015.17708
836	13011.44937
837	13007.40503
838	13004.30698
839	13002.80903
840	12997.34009
841	12989.61921
842	12985.90675
843	12981.12883
844	12979.49081
845	12972.36692
846	12971.98845
847	12968.7819
848	12962.20732
849	12955.9259
850	12951.23429
851	12950.81277
852	12946.99325
853	12940.6317
854	12936.13747
855	12930.49268
856	12925.00453
857	12923.39413
858	12917.99004
859	12917.34521
860	12915.3555
861	12913.48694
862	12910.49541
863	12902.13661
864	12898.45807
865	12895.03609
866	12889.15175
867	12885.52289
868	12878.9537
869	12876.97202
870	12875.74903
871	12873.3372
872	12868.98575
873	12868.27309
874	12865.78856
875	12864.98235
876	12860.01682
877	12856.43238
878	12854.11184
879	12847.09276
880	12844.91244
881	12844.34416
882	12839.11743
883	12835.98928
884	12832.73843
885	12829.17409
886	12826.2895
887	12819.09643
888	12817.27677
889	12812.62967
890	12807.26918
891	12800.51726
892	12798.13828
893	12795.16867
894	12789.85146
895	12788.46468
896	12785.69074
897	12778.11668
898	12775.57021
899	12771.49919
900	12767.24282
901	12765.29663
902	12764.93516
903	12761.61827
904	12759.82469
905	12756.48749
906	12750.66226
907	12747.88765
908	12743.95314
909	12741.94892
910	12740.42481
911	12737.30839
912	12736.21162
913	12730.70426
914	12730.35831
915	12729.74982
916	12727.96185
917	12725.12097
918	12720.02698
919	12716.33824
920	12715.75565
921	12715.31243
922	12715.06077
923	12708.624
924	12703.71177
925	12699.35185
926	12694.93854
927	12691.70497
928	12691.31015
929	12688.15606
930	12683.33709
931	12679.94939
932	12676.78798
933	12674.84671
934	12673.53574
935	12669.83734
936	12667.78845
937	12664.14063
938	12660.47532
939	12657.35268
940	12654.33771
941	12650.91773
942	12646.83363
943	12643.13493
944	12640.00409
945	12637.39015
946	12636.19588
947	12631.24415
948	12627.879
949	12624.08354
950	12620.85024
951	12618.20031
952	12615.34088
953	12611.87333
954	12607.60734
955	12605.97334
956	12603.38812
957	12600.3333
958	12600.03493
959	12596.59966
960	12595.14791
961	12592.15191
962	12591.67799
963	12587.91552
964	12585.63368
965	12579.43858
966	12574.12322
967	12572.8056
968	12569.8227
969	12568.86287
970	12567.97623
971	12563.93941
972	12562.37566
973	12559.81709
974	12556.57916
975	12553.68729
976	12550.23507
977	12549.14095
978	12548.03591
979	12544.98735
980	12543.79585
981	12540.11082
982	12534.05642
983	12532.31093
984	12527.47175
985	12524.42619
986	12523.23421
987	12520.03065
988	12516.26986
989	12513.00561
990	12509.76799
991	12506.62333
992	12503.83246
993	12498.53383
994	12496.93539
995	12495.63778
996	12492.47108
997	12489.53621
998	12483.08092
999	12479.27875
