Year,Company,Model,Transmission,Kms_Driven,ownership,Fuel_Type,Passing,Area,Price
2012,Maruti,Swift,Manual,106516,1st Owner,Diesel,KA-01,Bengaluru,470000
2019,Maruti,Swift,Manual,38572,1st Owner,CNG,HR-87,Rohtak,537000
2010,Maruti,Wagon R 1.0,Manual,77917,3rd Owner,Petrol,MH-02,Nagpur,204000
2017,Maruti,Baleno,Manual,36573,3rd Owner,Petrol,TN-14,Chennai,610000
2014,Maruti,Celerio,Manual,38275,1st Owner,Petrol,KA-05,Bengaluru,381000
2020,Maruti,Baleno,Manual,34138,1st Owner,Petrol,MH-31,Nagpur,703000
2019,Maruti,Vitara Brezza,Manual,58792,2nd Owner,Diesel,PB-10,Chandigarh,808000
2014,Maruti,Swift,Manual,67081,2nd Owner,Petrol,GJ-01,Ahmedabad,390000
2017,Maruti,Celerio,Manual,53003,1st Owner,CNG,MH-47,Pune,441000
2013,Maruti,Ertiga,Manual,112343,1st Owner,Petrol,KA-19,Bengaluru,593000
2011,Maruti,Wagon R 1.0,Manual,75550,2nd Owner,Petrol,TN-22,Chennai,278000
2019,Maruti,Swift,Manual,42392,2nd Owner,Petrol,GJ-01,Ahmedabad,559000
2019,Maruti,Baleno,Manual,53219,1st Owner,Petrol,GJ-01,Ahmedabad,628000
2016,Maruti,Swift,Manual,79267,1st Owner,Petrol,DL-4C,New Delhi,359000
2020,Maruti,New Wagon-R,Automatic,11232,1st Owner,Petrol,GJ-01,Ahmedabad,587000
2019,Maruti,Eeco,Manual,52186,1st Owner,Petrol,KL-07,Kochi,366000
2014,Maruti,Celerio,Automatic,18728,1st Owner,Petrol,KA-03,Bengaluru,440000
2019,Maruti,Baleno,Manual,28991,1st Owner,Petrol,DL-2C,Gurugram,567000
2014,Maruti,Alto 800,Manual,85119,1st Owner,Petrol,WB-24,Kolkata,172650
2017,Maruti,Baleno,Automatic,63559,2nd Owner,Petrol,TN-05,Chennai,629000
2016,Maruti,Wagon R 1.0,Manual,63881,1st Owner,Petrol,DL-5C,Noida,350000
2013,Maruti,Swift Dzire,Manual,99630,2nd Owner,Petrol,AP-28,Hyderabad,412000
2014,Maruti,Swift Dzire,Manual,35946,1st Owner,Diesel,HR-36,Faridabad,423000
2016,Maruti,Celerio,Automatic,18681,1st Owner,Petrol,KA-05,Bengaluru,485000
2013,Maruti,Ertiga,Manual,106752,2nd Owner,CNG,MH-48,Mumbai,564000
2015,Maruti,Ciaz,Manual,89310,3rd Owner,Diesel,GJ-05,Surat,463000
2011,Maruti,Swift,Manual,74040,2nd Owner,Petrol,DL-8C,New Delhi,191000
2015,Maruti,Ciaz,Manual,123077,2nd Owner,Diesel,GJ-01,Ahmedabad,569350
2014,Maruti,Wagon R 1.0,Manual,98390,1st Owner,Petrol,DL-3C,Noida,311000
2016,Maruti,Wagon R 1.0,Automatic,85577,3rd Owner,Petrol,KA-19,Bengaluru,382000
2017,Maruti,Dzire,Manual,53119,1st Owner,Petrol,DL-1C,New Delhi,502000
2019,Maruti,Swift,Manual,59382,1st Owner,Petrol,BR-31,Patna,547000
2018,Maruti,Dzire,Manual,55864,1st Owner,Petrol,MH-12,Pune,594000
2016,Maruti,Wagon R 1.0,Automatic,40561,2nd Owner,CNG,MH-46,Mumbai,379000
2017,Maruti,Ciaz,Manual,53087,1st Owner,Petrol,GJ-01,Ahmedabad,608000
2020,Maruti,Baleno,Manual,39752,2nd Owner,Petrol,TS-08,Hyderabad,730000
2016,Maruti,Ciaz,Manual,84068,2nd Owner,Diesel,TN-12,Chennai,748000
2019,Maruti,New Wagon-R,Manual,74173,1st Owner,CNG,HR-87,Gurugram,526000
2014,Maruti,Ertiga,Manual,38852,2nd Owner,Petrol,WB-02,Kolkata,460000
2013,Maruti,Wagon R 1.0,Manual,46873,1st Owner,Petrol,WB-02,Kolkata,216000
2016,Maruti,Celerio,Automatic,33233,2nd Owner,Petrol,KA-05,Bengaluru,476000
2013,Maruti,Wagon R 1.0,Manual,31462,2nd Owner,Petrol,MH-05,Mumbai,264000
2016,Maruti,Ciaz,Manual,84335,1st Owner,Diesel,GJ-27,Ahmedabad,555000
2018,Maruti,Ertiga,Manual,83567,2nd Owner,Diesel,DL-3C,Gurugram,770000
2016,Maruti,Alto 800,Manual,41370,3rd Owner,Petrol,MP-04,Lasudia Mori,264000
2016,Maruti,Ciaz,Manual,83736,2nd Owner,Diesel,MH-04,Nasik,593000
2014,Maruti,Alto 800,Manual,58874,1st Owner,Petrol,MH-15,Ahmedabad,230000
2016,Maruti,Vitara Brezza,Manual,42216,1st Owner,Diesel,DL-10,New Delhi,577000
2018,Maruti,Swift,Manual,84823,1st Owner,Petrol,KL-48,Kochi,561000
2017,Maruti,Dzire,Automatic,93533,1st Owner,Petrol,KA-03,Bengaluru,590000
2019,Maruti,S PRESSO,Manual,48579,1st Owner,Petrol,MH-46,Mumbai,381000
2022,Maruti,S PRESSO,Automatic,16500,1st Owner,Petrol,PB-08,Ludhiana,553000
2015,Maruti,Wagon R 1.0,Manual,17577,1st Owner,Petrol,MH-47,Nasik,342000
2016,Maruti,Celerio,Automatic,30940,2nd Owner,Petrol,MH-47,Mumbai,336000
2017,Maruti,Baleno,Manual,39217,2nd Owner,Petrol,TN-10,Chennai,627000
2021,Maruti,New Wagon-R,Manual,28231,1st Owner,CNG,MH-14,Pune,596000
2019,Maruti,Swift,Manual,28956,1st Owner,Petrol,UP-14,Ghaziabad,572000
2018,Maruti,Vitara Brezza,Manual,73081,1st Owner,Diesel,UP-65,Lucknow,635000
2018,Maruti,Wagon R 1.0,Manual,30073,1st Owner,Petrol,UP-14,Noida,397000
2010,Maruti,Swift,Manual,91819,2nd Owner,Petrol,TN-07,Chennai,328000
2013,Maruti,Swift,Manual,61249,1st Owner,Petrol,GJ-01,Rajkot,402000
2017,Maruti,Dzire,Manual,86017,1st Owner,Petrol,TS-10,Hyderabad,634000
2016,Maruti,Swift Dzire,Manual,58789,1st Owner,Petrol,TN-12,Chennai,575000
2020,Maruti,Vitara Brezza,Manual,41465,2nd Owner,Diesel,HR-13,Rohtak,726000
2021,Maruti,Celerio,Manual,42662,1st Owner,CNG,DL-8C,Noida,517000
2019,Maruti,Alto,Manual,84447,1st Owner,CNG,GJ-18,Ahmedabad,418000
2021,Maruti,Celerio,Manual,57940,1st Owner,CNG,HR-13,Rohtak,493000
2016,Maruti,Ciaz,Manual,75694,2nd Owner,Petrol,TS-09,Hyderabad,567000
2020,Maruti,Baleno,Manual,29716,1st Owner,Petrol,GJ-38,Ahmedabad,586000
2018,Maruti,Alto 800,Manual,36128,2nd Owner,Petrol,BR-31,Patna,295000
2010,Maruti,Alto K10,Manual,29255,1st Owner,Petrol,DL-5C,Noida,181000
2014,Maruti,Celerio,Automatic,100204,2nd Owner,Petrol,MH-12,Pune,322000
2013,Maruti,Wagon R 1.0,Manual,63744,1st Owner,Petrol,AP-28,Hyderabad,281000
2021,Maruti,New Wagon-R,Manual,10555,1st Owner,Petrol,DL-14,Ghaziabad,501000
2018,Maruti,Swift,Manual,37694,1st Owner,Petrol,PB-65,Ludhiana,549000
2020,Maruti,Vitara Brezza,Manual,25778,1st Owner,Petrol,HR-06,Rohtak,888000
2010,Maruti,Swift Dzire,Manual,65144,1st Owner,Petrol,DL-8C,Noida,192000
2018,Maruti,Dzire,Manual,49627,1st Owner,Diesel,HR-03,Chandigarh,658000
2021,Maruti,XL6,Automatic,44462,2nd Owner,Petrol,TS-09,Hyderabad,1217000
2014,Maruti,Ritz,Manual,62031,1st Owner,Petrol,HR-26,Gurugram,298000
2018,Maruti,Swift,Manual,92870,1st Owner,Petrol,TS-08,Hyderabad,603000
2019,Maruti,New Wagon-R,Manual,33412,1st Owner,Petrol,TN-09,Chennai,501000
2016,Maruti,Baleno,Manual,40045,2nd Owner,Petrol,MH-12,Pune,514000
2013,Maruti,Swift,Manual,91368,1st Owner,Diesel,MH-04,Mumbai,450000
2021,Maruti,New Wagon-R,Manual,60266,1st Owner,CNG,TS-15,Hyderabad,599000
2019,Maruti,Dzire,Automatic,12892,1st Owner,Petrol,TS-08,Hyderabad,741000
2021,Maruti,Swift,Manual,30176,1st Owner,Petrol,MH-05,Nagpur,620000
2012,Maruti,Wagon R 1.0,Manual,87108,1st Owner,CNG,DL-9C,Noida,252000
2021,Maruti,Ciaz,Manual,20730,1st Owner,Petrol,HR-30,New Delhi,800000
2015,Maruti,Swift,Manual,70706,1st Owner,Petrol,DL-8C,New Delhi,374000
2013,Maruti,Swift,Manual,69069,2nd Owner,Diesel,AP-28,Hyderabad,468000
2014,Maruti,Ritz,Manual,116027,2nd Owner,Diesel,TS-08,Hyderabad,349000
2016,Maruti,Ciaz,Manual,60318,2nd Owner,Petrol,KA-50,Bengaluru,609350
2018,Maruti,Dzire,Manual,51133,1st Owner,Diesel,UP-32,Lucknow,630000
2017,Maruti,Alto 800,Manual,22490,1st Owner,Petrol,MH-12,Pune,341000
2018,Maruti,Swift,Manual,55483,1st Owner,Petrol,DL-1C,New Delhi,495000
2016,Maruti,Alto K10,Manual,65602,2nd Owner,CNG,MH-14,Pune,310000
2017,Maruti,Baleno,Manual,78928,2nd Owner,Petrol,GJ-05,Surat,491000
2015,Maruti,Alto 800,Manual,46288,3rd Owner,Petrol,TN-58,Coimbatore,281000
2019,Maruti,Swift,Manual,93152,1st Owner,Petrol,DL-9C,Noida,497000
2015,Maruti,Ertiga,Manual,89315,1st Owner,Petrol,HR-20,Faridabad,548000
2014,Maruti,Swift Dzire,Manual,65926,1st Owner,Petrol,KA-02,Bengaluru,455000
2011,Maruti,Swift,Manual,87951,1st Owner,Diesel,MH-04,Pune,380000
2016,Maruti,Celerio,Automatic,44696,1st Owner,Petrol,WB-08,Kolkata,354000
2014,Maruti,Wagon R Stingray,Manual,24324,1st Owner,Petrol,WB-24,Kolkata,298000
2021,Maruti,New Wagon-R,Manual,53136,1st Owner,CNG,HR-26,Gurugram,612000
2015,Maruti,Baleno,Manual,77471,1st Owner,Diesel,HR-36,New Delhi,472000
2015,Maruti,Baleno,Manual,52288,1st Owner,Diesel,HR-51,Chandigarh,397000
2014,Maruti,Swift,Manual,43342,2nd Owner,Diesel,HR-77,Chandigarh,389000
2019,Maruti,Swift,Manual,30045,1st Owner,Petrol,GJ-05,Surat,527000
2020,Maruti,Vitara Brezza,Manual,18026,1st Owner,Petrol,WB-26,Kolkata,647000
2018,Maruti,Swift,Manual,72228,2nd Owner,Petrol,HR-85,Chandigarh,523000
2014,Maruti,Wagon R 1.0,Manual,49093,1st Owner,Petrol,PB-10,Ludhiana,308650
2011,Maruti,Swift Dzire,Manual,38071,2nd Owner,Petrol,WB-06,Kolkata,239000
2020,Maruti,Alto,Manual,8142,2nd Owner,Petrol,HR-26,Chandigarh,365000
2013,Maruti,Swift Dzire,Manual,41312,1st Owner,Petrol,AP-10,Hyderabad,451000
2017,Maruti,Dzire,Manual,108597,1st Owner,Petrol,MH-48,Mumbai,556000
2022,Maruti,New Wagon-R,Manual,25885,1st Owner,CNG,UP-32,Lucknow,686000
2019,Maruti,New Wagon-R,Manual,41599,1st Owner,Petrol,HR-26,Gurugram,544000
2020,Maruti,Vitara Brezza,Manual,32984,2nd Owner,Petrol,MH-12,Pune,875000
2019,Maruti,New Wagon-R,Manual,63087,1st Owner,CNG,MH-05,Nasik,507000
2018,Maruti,Vitara Brezza,Manual,31247,1st Owner,Diesel,UP-14,Lucknow,698000
2012,Maruti,Swift,Manual,70989,1st Owner,Petrol,DL-9C,Gurugram,315000
2018,Maruti,Celerio X,Manual,82558,1st Owner,Petrol,RJ-45,Mansarovar,520000
2021,Maruti,Swift,Manual,51558,1st Owner,Petrol,HR-76,Gurugram,556000
2011,Maruti,Wagon R 1.0,Manual,63665,2nd Owner,Petrol,DL-2C,Noida,167000
2016,Maruti,Celerio,Manual,64247,1st Owner,Petrol,TN-01,Chennai,416000
2012,Maruti,Wagon R 1.0,Manual,56495,2nd Owner,Petrol,MP-04,Lasudia Mori,254000
2016,Maruti,Ertiga,Manual,65850,1st Owner,Petrol,MH-46,Navi Mumbai,647000
2017,Maruti,Swift,Manual,42386,1st Owner,Petrol,MH-12,Pune,538000
